plant_code,plant_name,state,county,unit,EIA,EIA_proposed,NEEDS,CAPD,NESHAP
57185,Cricket Valley Energy,New York,Dutchess,1,TRUE,FALSE,TRUE,TRUE,FALSE
57185,Cricket Valley Energy,New York,Dutchess,2,TRUE,FALSE,TRUE,TRUE,FALSE
57185,Cricket Valley Energy,New York,Dutchess,3,TRUE,FALSE,TRUE,TRUE,FALSE
57185,Cricket Valley Energy,New York,Dutchess,4,TRUE,FALSE,TRUE,TRUE,FALSE
57185,Cricket Valley Energy,New York,Dutchess,5,TRUE,FALSE,TRUE,TRUE,FALSE
57185,Cricket Valley Energy,New York,Dutchess,6,TRUE,FALSE,TRUE,TRUE,FALSE
57472,TBE-Montgomery LLC,New York,Orange,1,FALSE,TRUE,FALSE,FALSE,FALSE
57472,TBE-Montgomery LLC,New York,Orange,2,FALSE,TRUE,FALSE,FALSE,FALSE
57504,TECO CHP-1,Texas,Harris,1,FALSE,TRUE,FALSE,FALSE,FALSE
57828,Tulsa LFG LLC,Oklahoma,Osage,1,FALSE,FALSE,TRUE,FALSE,FALSE
57881,Pioneer Generation Station,North Dakota,Williams,1,FALSE,TRUE,FALSE,FALSE,FALSE
57881,Pioneer Generation Station,North Dakota,Williams,2,FALSE,TRUE,FALSE,FALSE,FALSE
57943,Lonesome Creek Station,North Dakota,McKenzie,1,TRUE,FALSE,TRUE,TRUE,FALSE
58151,Central Utility Plant - Texas A&M,Texas,Brazos,1,FALSE,TRUE,FALSE,FALSE,FALSE
58168,Energy Center,California,San Bernardino,1,TRUE,FALSE,FALSE,FALSE,FALSE
58168,Energy Center,California,San Bernardino,2,TRUE,FALSE,FALSE,FALSE,FALSE
58168,Energy Center,California,San Bernardino,3,TRUE,FALSE,FALSE,FALSE,FALSE
58194,West Campus Steam Plant,Pennsylvania,Centre,1,TRUE,FALSE,FALSE,FALSE,FALSE
58199,Arizona State University CHP,Arizona,Maricopa,1,TRUE,FALSE,FALSE,FALSE,FALSE
58413,Copper Crossing Energy and Research Center,Arizona,Pinal,1,FALSE,TRUE,FALSE,FALSE,FALSE
58413,Copper Crossing Energy and Research Center,Arizona,Pinal,2,FALSE,TRUE,FALSE,FALSE,FALSE
58546,Watervliet,Michigan,Berrien,1,FALSE,FALSE,TRUE,FALSE,FALSE
58930,FGE Texas II,Texas,Mitchell,1,FALSE,TRUE,FALSE,FALSE,FALSE
58930,FGE Texas II,Texas,Mitchell,2,FALSE,TRUE,FALSE,FALSE,FALSE
58930,FGE Texas II,Texas,Mitchell,3,FALSE,TRUE,FALSE,FALSE,FALSE
58931,FGE Texas I,Texas,Mitchell,1,FALSE,TRUE,FALSE,FALSE,FALSE
